id	height	width
NMAAHC-HCA_1.43.B	1661.0	1323.0
NMAAHC-HCA_1.44.B	1661.0	1323.0
NMAAHC-HCA_1.46.B	1661.0	1323.0
NMAAHC-HCA_1.46.D	1655.0	1318.0
NMAAHC-HCA_1.5.A	1656.0	1320.0
NMAAHC-HCA_1.5.D	1656.0	1379.0
NMAAHC-HCA_1.7.D	1571.0	1301.0
NMAAHC-HCA_1.8.D	1656.0	1362.0
NMAAHC-HCA_10.1.D	1794.0	1447.0
NMAAHC-HCA_10.14.D	1794.0	1447.0
NMAAHC-HCA_10.17.D.2	1259.0	804.0
NMAAHC-HCA_10.21.D	1447.0	1794.0
NMAAHC-HCA_10.23.B	1434.0	1710.0
NMAAHC-HCA_10.23.B.1	1258.0	786.0
NMAAHC-HCA_10.23.D	1794.0	1447.0
NMAAHC-HCA_10.24.B.1	1287.0	804.0
NMAAHC-HCA_10.28.D.1	1254.0	792.0
NMAAHC-HCA_10.29.A	1848.0	1392.0
NMAAHC-HCA_10.29.B.1	1248.0	792.0
NMAAHC-2007_1_69_10_30_A	1604.0	2000.0
NMAAHC-HCA_10.30.D	1794.0	1447.0
NMAAHC-HCA_10.31.C.1	1245.0	774.0
NMAAHC-HCA_10.33.C	1410.0	1776.0
NMAAHC-HCA_10.4.B	1710.0	1434.0
NMAAHC-HCA_10.40.B	1710.0	1434.0
NMAAHC-HCA_10.42.A	1848.0	1392.0
NMAAHC-HCA_10.42.B	1434.0	1710.0
NMAAHC-HCA_10.42.D	1794.0	1447.0
NMAAHC-HCA_10.46.C.1	1290.0	792.0
NMAAHC-HCA_10.6.C	1776.0	1410.0
NMAAHC-HCA_10.7.C	1776.0	1410.0
NMAAHC-HCA_10.8.B.2	1264.0	672.0
NMAAHC-HCA_10.9.C.2	1248.0	792.0
NMAAHC-HCA_10.9.D.2	1248.0	792.0
NMAAHC-HCA_11.12.A	1698.0	1434.0
NMAAHC-HCA_11.13.A	1698.0	1434.0
NMAAHC-HCA_11.19.A	1698.0	1434.0
NMAAHC-HCA_11.21.C	1704.0	1392.0
NMAAHC-HCA_11.23.D.1	1236.0	786.0
NMAAHC-HCA_11.24.A	1434.0	1698.0
NMAAHC-HCA_11.24.C	1704.0	1392.0
NMAAHC-HCA_11.26.D	1728.0	1381.0
NMAAHC-HCA_11.27.C	1704.0	1392.0
NMAAHC-HCA_11.28.C	1392.0	1704.0
NMAAHC-HCA_11.28.C.1	1281.0	798.0
NMAAHC-HCA_11.3.D	1728.0	1381.0
NMAAHC-HCA_11.31.A	1698.0	1434.0
NMAAHC-HCA_11.32.D	1728.0	1381.0
NMAAHC-HCA_11.33.D	1728.0	1381.0
NMAAHC-HCA_11.34.A	1434.0	1698.0
NMAAHC-HCA_11.34.D	1728.0	1381.0
NMAAHC-HCA_11.35.D	1728.0	1381.0
NMAAHC-HCA_11.36.C	1704.0	1392.0
NMAAHC-HCA_11.37.D	1728.0	1381.0
NMAAHC-HCA_11.38.D.1	1266.0	780.0
NMAAHC-HCA_11.39.A	1434.0	1698.0
NMAAHC-HCA_11.39.C	1392.0	1704.0
NMAAHC-HCA_11.39.D	1728.0	1381.0
NMAAHC-HCA_11.41.B	1375.0	1728.0
NMAAHC-HCA_11.41.B.2	1287.0	825.0
NMAAHC-HCA_11.41.C.1	1275.0	786.0
NMAAHC-HCA_11.42.D.1	1272.0	792.0
NMAAHC-HCA_11.46.C	1704.0	1392.0
NMAAHC-HCA_11.5.A	1698.0	1434.0
NMAAHC-HCA_12.31.D.2	1290.0	810.0
NMAAHC-HCA_12.32.A	1446.0	1746.0
NMAAHC-HCA_12.34.D.2	1308.0	816.0
NMAAHC-HCA_12.35.D.1	1314.0	797.0
NMAAHC-HCA_12.36.C	1446.0	1710.0
NMAAHC-HCA_12.38.D	1872.0	1440.0
NMAAHC-HCA_12.39.B	1734.0	1434.0
NMAAHC-HCA_12.41.D.2	1278.0	816.0
NMAAHC-HCA_12.42.A.2	1296.0	813.0
NMAAHC-HCA_12.43.B	1734.0	1434.0
NMAAHC-HCA_12.45.C.1	1314.0	777.0
NMAAHC-HCA_12.5.C	1446.0	1710.0
NMAAHC-HCA_12.5.D.2	1296.0	819.0
NMAAHC-HCA_12.8.D	1872.0	1440.0
NMAAHC-HCA_13.1.D	1200.0	1500.0
NMAAHC-HCA_13.10.B	1447.0	1806.0
NMAAHC-HCA_13.12.B	1447.0	1806.0
NMAAHC-HCA_13.12.D	1411.0	1764.0
NMAAHC-HCA_13.13.B	1806.0	1447.0
NMAAHC-HCA_13.14.C	1416.0	1752.0
NMAAHC-HCA_13.25.A	1734.0	1398.0
NMAAHC-HCA_5.5.C-000001	1734.0	1422.0
NMAAHC-HCA_5.6.B-000001	1848.0	1477.0
NMAAHC-HCA_6.11.C	1752.0	1392.0
NMAAHC-HCA_6.12.C	1752.0	1392.0
NMAAHC-HCA_6.15.A	1746.0	1422.0
NMAAHC-HCA_6.19.A	1746.0	1422.0
NMAAHC-HCA_6.19.B	1770.0	1422.0
NMAAHC-HCA_6.20.A	1746.0	1422.0
NMAAHC-HCA_6.24.D	1728.0	1405.0
NMAAHC-HCA_6.25.D	1728.0	1405.0
NMAAHC-HCA_6.3.B	1770.0	1422.0
NMAAHC-HCA_6.30.D	1728.0	1405.0
NMAAHC-HCA_6.31.C	1752.0	1392.0
NMAAHC-HCA_6.33.D	1728.0	1405.0
