width	height	edan_id	ids_id
500.0	808.0	nmaahc_2007.1.69.10.12.C.1	NMAAHC-HCA_10_12_C_1
499.0	780.0	nmaahc_2007.1.69.10.12.C.2	NMAAHC-HCA_10_12_C_2
500.0	803.0	nmaahc_2007.1.69.10.12.D.1	NMAAHC-HCA_10_12_D_1
500.0	775.0	nmaahc_2007.1.69.10.12.D.2	NMAAHC-HCA_10_12_D_2
499.0	663.0	nmaahc_2007.1.69.10.13.A	NMAAHC-HCA_10_13_A
500.0	596.0	nmaahc_2007.1.69.10.13.B	NMAAHC-HCA_10_13_B
499.0	629.0	nmaahc_2007.1.69.10.13.C	NMAAHC-HCA_10_13_C
499.0	619.0	nmaahc_2007.1.69.10.13.D	NMAAHC-HCA_10_13_D
499.0	663.0	nmaahc_2007.1.69.10.14.A	NMAAHC-HCA_10_14_A
500.0	419.0	nmaahc_2007.1.69.10.14.B	NMAAHC-HCA_10_14_B
499.0	629.0	nmaahc_2007.1.69.10.14.C	NMAAHC-HCA_10_14_C
499.0	619.0	nmaahc_2007.1.69.10.14.D	NMAAHC-HCA_10_14_D
499.0	663.0	nmaahc_2007.1.69.10.15.A	NMAAHC-HCA_10_15_A
500.0	596.0	nmaahc_2007.1.69.10.15.B	NMAAHC-HCA_10_15_B
499.0	629.0	nmaahc_2007.1.69.10.15.C	NMAAHC-HCA_10_15_C
499.0	619.0	nmaahc_2007.1.69.10.15.D	NMAAHC-HCA_10_15_D
500.0	377.0	nmaahc_2007.1.69.10.16.A	NMAAHC-HCA_10_16_A
500.0	795.0	nmaahc_2007.1.69.10.16.A.1	NMAAHC-HCA_10_16_A_1
500.0	795.0	nmaahc_2007.1.69.10.16.A.2	NMAAHC-HCA_10_16_A_2
500.0	596.0	nmaahc_2007.1.69.10.16.B	NMAAHC-HCA_10_16_B
499.0	629.0	nmaahc_2007.1.69.10.16.C	NMAAHC-HCA_10_16_C
499.0	619.0	nmaahc_2007.1.69.10.16.D	NMAAHC-HCA_10_16_D
500.0	377.0	nmaahc_2007.1.69.10.17.A	NMAAHC-HCA_10_17_A
500.0	794.0	nmaahc_2007.1.69.10.17.A.1	NMAAHC-HCA_10_17_A_1
500.0	767.0	nmaahc_2007.1.69.10.17.A.2	NMAAHC-HCA_10_17_A_2
500.0	419.0	nmaahc_2007.1.69.10.17.B	NMAAHC-HCA_10_17_B
500.0	815.0	nmaahc_2007.1.69.10.17.B.1	NMAAHC-HCA_10_17_B_1
499.0	777.0	nmaahc_2007.1.69.10.17.B.2	NMAAHC-HCA_10_17_B_2
500.0	397.0	nmaahc_2007.1.69.10.17.C	NMAAHC-HCA_10_17_C
500.0	801.0	nmaahc_2007.1.69.10.17.C.1	NMAAHC-HCA_10_17_C_1
500.0	777.0	nmaahc_2007.1.69.10.17.C.2	NMAAHC-HCA_10_17_C_2
500.0	403.0	nmaahc_2007.1.69.10.17.D	NMAAHC-HCA_10_17_D
500.0	807.0	nmaahc_2007.1.69.10.17.D.1	NMAAHC-HCA_10_17_D_1
499.0	782.0	nmaahc_2007.1.69.10.17.D.2	NMAAHC-HCA_10_17_D_2
499.0	663.0	nmaahc_2007.1.69.10.18.A	NMAAHC-HCA_10_18_A
500.0	596.0	nmaahc_2007.1.69.10.18.B	NMAAHC-HCA_10_18_B
499.0	629.0	nmaahc_2007.1.69.10.18.C	NMAAHC-HCA_10_18_C
499.0	619.0	nmaahc_2007.1.69.10.18.D	NMAAHC-HCA_10_18_D
